campaign,channel,region,team,month,spend
Spring Product Launch,Social Media Ads,North America,Digital Marketing,Jan,4500
Spring Product Launch,Content Marketing,North America,Content Team,Jan,2800
Spring Product Launch,Email Marketing,North America,Digital Marketing,Jan,1500
Spring Product Launch,Social Media Ads,Europe,Digital Marketing,Feb,5200
Spring Product Launch,Search Engine Marketing,Europe,Digital Marketing,Feb,3800
Q2 Brand Awareness,Social Media Ads,Asia-Pacific,Digital Marketing,Mar,6100
Q2 Brand Awareness,Content Marketing,Asia-Pacific,Content Team,Mar,3300
Q2 Brand Awareness,Email Marketing,Asia-Pacific,Digital Marketing,Mar,1800
Q2 Brand Awareness,Social Media Ads,North America,Digital Marketing,Apr,5800
Q2 Brand Awareness,Search Engine Marketing,North America,Digital Marketing,Apr,4200
Summer Sale Campaign,Social Media Ads,Europe,Digital Marketing,May,7500
Summer Sale Campaign,Content Marketing,Europe,Content Team,May,4000
Summer Sale Campaign,Email Marketing,Europe,Digital Marketing,May,2200
Summer Sale Campaign,Social Media Ads,Asia-Pacific,Digital Marketing,Jun,8000
Summer Sale Campaign,Search Engine Marketing,Asia-Pacific,Digital Marketing,Jun,4500
Holiday Promotion,Social Media Ads,North America,Digital Marketing,Jul,9500
Holiday Promotion,Content Marketing,North America,Content Team,Jul,5200
Holiday Promotion,Email Marketing,North America,Digital Marketing,Jul,2800
Holiday Promotion,Social Media Ads,Europe,Digital Marketing,Aug,10500
Holiday Promotion,Search Engine Marketing,Europe,Digital Marketing,Aug,6000
Spring Product Launch,Content Marketing,North America,Content Team,Feb,3000
Spring Product Launch,Email Marketing,North America,Digital Marketing,Feb,1600
Spring Product Launch,Social Media Ads,Asia-Pacific,Digital Marketing,Jan,4800
Spring Product Launch,Content Marketing,Asia-Pacific,Content Team,Jan,3100
Q2 Brand Awareness,Search Engine Marketing,North America,Digital Marketing,Mar,4100
Q2 Brand Awareness,Email Marketing,North America,Digital Marketing,Mar,1900
Q2 Brand Awareness,Social Media Ads,Europe,Digital Marketing,Apr,6300
Q2 Brand Awareness,Content Marketing,Europe,Content Team,Apr,3500
Summer Sale Campaign,Search Engine Marketing,North America,Digital Marketing,May,4800
Summer Sale Campaign,Email Marketing,North America,Digital Marketing,May,2500
Summer Sale Campaign,Social Media Ads,Europe,Digital Marketing,Jun,8200
Summer Sale Campaign,Content Marketing,Europe,Content Team,Jun,4300
Holiday Promotion,Search Engine Marketing,Asia-Pacific,Digital Marketing,Jul,6500
Holiday Promotion,Email Marketing,Asia-Pacific,Digital Marketing,Jul,3200
Holiday Promotion,Social Media Ads,North America,Digital Marketing,Aug,10000
Holiday Promotion,Content Marketing,North America,Content Team,Aug,5500
Spring Product Launch,Social Media Ads,Europe,Digital Marketing,Jan,5000
Spring Product Launch,Content Marketing,Europe,Content Team,Jan,3200
Spring Product Launch,Email Marketing,Europe,Digital Marketing,Jan,1700
Q2 Brand Awareness,Social Media Ads,North America,Digital Marketing,Mar,6000
Q2 Brand Awareness,Content Marketing,North America,Content Team,Mar,3400
Q2 Brand Awareness,Email Marketing,North America,Digital Marketing,Mar,2000
Summer Sale Campaign,Social Media Ads,Asia-Pacific,Digital Marketing,May,7800
Summer Sale Campaign,Content Marketing,Asia-Pacific,Content Team,May,4100
Summer Sale Campaign,Email Marketing,Asia-Pacific,Digital Marketing,May,2300
Holiday Promotion,Social Media Ads,Europe,Digital Marketing,Jul,10200
Holiday Promotion,Content Marketing,Europe,Content Team,Jul,5400
Holiday Promotion,Email Marketing,Europe,Digital Marketing,Jul,3000
Spring Product Launch,Search Engine Marketing,North America,Digital Marketing,Feb,4000
Spring Product Launch,Social Media Ads,Asia-Pacific,Digital Marketing,Feb,5500
Spring Product Launch,Content Marketing,Asia-Pacific,Content Team,Feb,3400
Q2 Brand Awareness,Email Marketing,Asia-Pacific,Digital Marketing,Apr,2100
Q2 Brand Awareness,Social Media Ads,North America,Digital Marketing,May,6500
Q2 Brand Awareness,Content Marketing,North America,Content Team,May,3700
Summer Sale Campaign,Email Marketing,Europe,Digital Marketing,Jun,2600
Summer Sale Campaign,Social Media Ads,Asia-Pacific,Digital Marketing,Jul,8500
Summer Sale Campaign,Content Marketing,Asia-Pacific,Content Team,Jul,4600
Holiday Promotion,Email Marketing,North America,Digital Marketing,Aug,3500
Holiday Promotion,Social Media Ads,Europe,Digital Marketing,Sep,11000
Holiday Promotion,Content Marketing,Europe,Content Team,Sep,5800
